os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 7 7745HX with Radeon Graphics,NVIDIA GeForce RTX 4070 Laptop GPU/PCIe/SSE2,32528084,7.1.3-2-cachyos,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
63.2032,15.822,31.738,0,38,60,48,2475,8001,4.52124,39,9.97896,0.00263214,2.07967,3561,5159809138
49.2858,20.2898,31.738,0,38,60,48,2475,8001,4.52124,39,9.97896,0.00263214,2.07967,3561,5259902236
64.535,15.4955,31.738,0,38,60,48,2475,8001,4.52124,39,9.97896,0.00263214,2.07967,3561,5359996522
62.1767,16.0832,31.738,0,38,60,48,2475,8001,4.52124,39,9.97896,0.00263214,2.07967,3561,5460087245
62.9152,15.8944,29.2624,0,38,60,48,2475,8001,4.52124,39,9.97991,0.00263214,2.07967,3567,5560177969
63.4891,15.7507,29.2624,0,38,60,48,2475,8001,4.52124,39,9.97991,0.00263214,2.07967,3567,5660268693
61.898,16.1556,29.2624,0,38,60,48,2475,8001,4.52124,39,9.97991,0.00263214,2.07967,3567,5760357042
62.7745,15.93,29.2624,0,38,60,48,2475,8001,4.52124,39,9.97991,0.00263214,2.07967,3567,5860448953
59.9165,16.6899,29.2624,0,38,60,48,2475,8001,4.52124,39,9.97991,0.00263214,2.07967,3567,5960539677
63.0518,15.86,29.2624,0,38,60,48,2475,8001,4.52124,39,9.97991,0.00263214,2.07967,3567,6060630401
65.3512,15.3019,28.3293,0,60,61,49,2475,8001,4.52124,41,9.93758,0.00263214,2.07967,3557,6160721125
68.8391,14.5266,28.3293,0,60,61,49,2475,8001,4.52124,41,9.93758,0.00263214,2.07967,3557,6260813036
60.1862,16.6151,28.3293,0,60,61,49,2475,8001,4.52124,41,9.93758,0.00263214,2.07967,3557,6360890699
64.913,15.4052,28.3293,0,60,61,49,2475,8001,4.52124,41,9.93758,0.00263214,2.07967,3557,6460986172
62.347,16.0393,28.3293,0,60,61,49,2475,8001,4.52124,41,9.93758,0.00263214,2.07967,3557,6561089957
62.9717,15.8802,29.5261,0,39,61,49,2475,8001,4.52124,42,9.91218,0.00263214,2.07968,3565,6661185430
62.5926,15.9763,29.5261,0,39,61,49,2475,8001,4.52124,42,9.91218,0.00263214,2.07968,3565,6761279715
60.9705,16.4014,29.5261,0,39,61,49,2475,8001,4.52124,42,9.91218,0.00263214,2.07968,3565,6861377563
59.0304,16.9404,29.5261,0,39,61,49,2475,8001,4.52124,42,9.91218,0.00263214,2.07968,3565,6961470661
65.821,15.1927,29.5261,0,39,61,49,2475,8001,4.52124,42,9.91218,0.00263214,2.07968,3565,7061564947
62.6159,15.9704,33.8611,0,37,61,49,2475,7851,4.52124,40,9.91302,0.00263214,2.07968,3557,7161661607
64.3525,15.5394,33.8611,0,37,61,49,2475,7851,4.52124,40,9.91302,0.00263214,2.07968,3557,7261757080
64.4116,15.5252,33.8611,0,37,61,49,2475,7851,4.52124,40,9.91302,0.00263214,2.07968,3557,7361851366
61.5992,16.234,33.8611,0,37,61,49,2475,7851,4.52124,40,9.91302,0.00263214,2.07968,3557,7461955150
59.1922,16.8941,33.8611,0,37,61,49,2475,7851,4.52124,40,9.91302,0.00263214,2.07968,3557,7562054185
61.1342,16.3575,33.8611,0,37,61,49,2475,7851,4.52124,40,9.91302,0.00263214,2.07968,3557,7662154407
62.3147,16.0476,35.414,0,44,61,49,2475,7251,4.52124,38,9.91349,0.00263214,2.07968,3537,7762258191
61.6985,16.2079,35.414,0,44,61,49,2475,7251,4.52124,38,9.91349,0.00263214,2.07968,3537,7862354852
63.4604,15.7579,35.414,0,44,61,49,2475,7251,4.52124,38,9.91349,0.00263214,2.07968,3537,7962452699
60.8647,16.4299,35.414,0,44,61,49,2475,7251,4.52124,38,9.91349,0.00263214,2.07968,3537,8062545798
63.2602,15.8077,37.3571,0,45,61,49,2475,8001,4.52124,38,9.93454,0.00263214,2.07933,3565,8162649582
61.9663,16.1378,37.3571,0,45,61,49,2475,8001,4.52124,38,9.93454,0.00263214,2.07933,3565,8262750991
66.665,15.0004,37.3571,0,45,61,49,2475,8001,4.52124,38,9.93454,0.00263214,2.07933,3565,8362859525
57.3972,17.4225,37.3571,0,45,61,49,2475,8001,4.52124,38,9.93454,0.00263214,2.07933,3565,8462962122
62.1813,16.082,37.3571,0,45,61,49,2475,8001,4.52124,38,9.93454,0.00263214,2.07933,3565,8563054033
64.015,15.6213,40.6758,0,49,61,49,2451,8001,4.52124,41,9.95602,0.00263214,2.07944,3538,8663148318
61.1653,16.3491,40.6758,0,49,61,49,2451,8001,4.52124,41,9.95602,0.00263214,2.07944,3538,8763235480
62.1446,16.0915,40.6758,0,49,61,49,2451,8001,4.52124,41,9.95602,0.00263214,2.07944,3538,8863326204
63.8646,15.6581,40.6758,0,49,61,49,2451,8001,4.52124,41,9.95602,0.00263214,2.07944,3538,8963421677
61.9481,16.1426,40.6758,0,49,61,49,2451,8001,4.52124,41,9.95602,0.00263214,2.07944,3538,9063515963
63.3458,15.7864,40.6758,0,49,61,49,2451,8001,4.52124,41,9.95602,0.00263214,2.07944,3538,9163611436
61.6849,16.2114,34.1076,0,52,61,49,2445,8001,4.52124,43,9.91794,0.00263214,2.07945,3561,9263699785
63.6089,15.7211,34.1076,0,52,61,49,2445,8001,4.52124,43,9.91794,0.00263214,2.07945,3561,9363791696
60.5192,16.5237,34.1076,0,52,61,49,2445,8001,4.52124,43,9.91794,0.00263214,2.07945,3561,9463864611
62.56,15.9846,34.1076,0,52,61,49,2445,8001,4.52124,43,9.91794,0.00263214,2.07945,3561,9563957709
63.1227,15.8422,33.8592,0,45,61,49,2475,8001,4.52124,43,9.91602,0.00263214,2.07946,3565,9664050807
63.0282,15.8659,33.8592,0,45,61,49,2475,8001,4.52124,43,9.91602,0.00263214,2.07946,3565,9764128471
60.4107,16.5534,33.8592,0,45,61,49,2475,8001,4.52124,43,9.91602,0.00263214,2.07946,3565,9864234630
62.9575,15.8837,33.8592,0,45,61,49,2475,8001,4.52124,43,9.91602,0.00263214,2.07946,3565,9964336039
64.7533,15.4432,33.8592,0,45,61,49,2475,8001,4.52124,43,9.91602,0.00263214,2.07946,3565,10064436261
60.1304,16.6305,31.7259,0,42,61,49,2475,8001,4.52124,42,9.87811,0.00263214,2.07946,3562,10164534109
59.2922,16.8656,31.7259,0,42,61,49,2475,8001,4.52124,42,9.87811,0.00263214,2.07946,3562,10264626020
68.6539,14.5658,31.7259,0,42,61,49,2475,8001,4.52124,42,9.87811,0.00263214,2.07946,3562,10364710807
62.3701,16.0333,31.7259,0,42,61,49,2475,8001,4.52124,42,9.87811,0.00263214,2.07946,3562,10465136350
64.3083,15.5501,31.7259,0,42,61,49,2475,8001,4.52124,42,9.87811,0.00263214,2.07946,3562,10565240134
59.3842,16.8395,31.7259,0,42,61,49,2475,8001,4.52124,42,9.87811,0.00263214,2.07946,3562,10665334420
63.6859,15.7021,25.25,0,38,61,49,2475,8001,4.52124,41,9.87695,0.00263214,2.07946,3564,10765425144
58.5096,17.0912,25.25,0,38,61,49,2475,8001,4.52124,41,9.87695,0.00263214,2.07946,3564,10865521804
61.9982,16.1295,25.25,0,38,61,49,2475,8001,4.52124,41,9.87695,0.00263214,2.07946,3564,10965622026
62.3193,16.0464,25.25,0,38,61,49,2475,8001,4.52124,41,9.87695,0.00263214,2.07946,3564,11065722249
63.3125,15.7947,25.25,0,38,61,49,2475,8001,4.52124,41,9.87695,0.00263214,2.07946,3564,11165816534
60.3847,16.5605,29.8397,0,41,61,49,2475,8001,4.52124,40,9.87925,0.00263214,2.07948,3567,11265928630
73.488,13.6077,29.8397,0,41,61,49,2475,8001,4.52124,40,9.87925,0.00263214,2.07948,3567,11366035976
70.4749,14.1894,29.8397,0,41,61,49,2475,8001,4.52124,40,9.87925,0.00263214,2.07948,3567,11466131449
60.8295,16.4394,29.8397,0,41,61,49,2475,8001,4.52124,40,9.87925,0.00263214,2.07948,3567,11566229296
60.9396,16.4097,29.8397,0,41,61,49,2475,8001,4.52124,40,9.87925,0.00263214,2.07948,3567,11666329519
63.6859,15.7021,27.8049,0,42,61,49,2475,8001,4.52124,41,9.88226,0.00263214,2.08143,3567,11766429741
55.5022,18.0173,27.8049,0,42,61,49,2475,8001,4.52124,41,9.88226,0.00263214,2.08143,3567,11866539461
62.14,16.0927,27.8049,0,42,61,49,2475,8001,4.52124,41,9.88226,0.00263214,2.08143,3567,11966649182
59.2714,16.8716,27.8049,0,42,61,49,2475,8001,4.52124,41,9.88226,0.00263214,2.08143,3567,12066749404
61.9389,16.1449,27.8049,0,42,61,49,2475,8001,4.52124,41,9.88226,0.00263214,2.08143,3567,12166841315
63.2602,15.8077,37.707,0,42,61,49,2475,8001,4.52124,42,9.9139,0.00263214,2.08143,3561,12266943912
64.8031,15.4314,37.707,0,42,61,49,2475,8001,4.52124,42,9.9139,0.00263214,2.08143,3561,12367056007
63.0046,15.8719,37.707,0,42,61,49,2475,8001,4.52124,42,9.9139,0.00263214,2.08143,3561,12467166915
66.4494,15.049,37.707,0,42,61,49,2475,8001,4.52124,42,9.9139,0.00263214,2.08143,3561,12567268325
60.7681,16.456,37.707,0,42,61,49,2475,8001,4.52124,42,9.9139,0.00263214,2.08143,3561,12667644001
62.5693,15.9823,36.2283,0,57,62,49,2394,8001,4.52124,42,9.92711,0.00263214,2.08143,3566,12767745411
63.6907,15.7009,36.2283,0,57,62,49,2394,8001,4.52124,42,9.92711,0.00263214,2.08143,3566,12867833760
62.9152,15.8944,36.2283,0,57,62,49,2394,8001,4.52124,42,9.92711,0.00263214,2.08143,3566,12967941106
61.8298,16.1734,36.2283,0,57,62,49,2394,8001,4.52124,42,9.92711,0.00263214,2.08143,3566,13068066261
63.341,15.7876,36.2283,0,57,62,49,2394,8001,4.52124,42,9.92711,0.00263214,2.08143,3566,13169292046
57.4716,17.3999,31.9497,0,56,62,49,2475,8001,4.52124,45,9.90749,0.00263214,2.08144,3523,13269785265
61.9481,16.1426,31.9497,0,56,62,49,2475,8001,4.52124,45,9.90749,0.00263214,2.08144,3523,13370076643
60.0147,16.6626,31.9497,0,56,62,49,2475,8001,4.52124,45,9.90749,0.00263214,2.08144,3523,13470175678
60.5802,16.5071,31.9497,0,56,62,49,2475,8001,4.52124,45,9.90749,0.00263214,2.08144,3523,13571294605
57.8983,17.2717,31.9497,0,56,62,49,2475,8001,4.52124,45,9.90749,0.00263214,2.08144,3523,13671564611
59.6787,16.7564,31.9497,0,56,62,49,2475,8001,4.52124,45,9.90749,0.00263214,2.08144,3523,13772212179
59.334,16.8537,34.2205,0,62,62,49,2463,8001,4.52124,46,9.94467,0.00263214,2.08145,3564,13872324275
58.4001,17.1233,34.2205,0,62,62,49,2463,8001,4.52124,46,9.94467,0.00263214,2.08145,3564,13972417373
58.0739,17.2194,34.2205,0,62,62,49,2463,8001,4.52124,46,9.94467,0.00263214,2.08145,3564,14072515221
